X,Y,Longitude,Latitude,IIH,Sample
-48.7084270543457,-1.57219311546834,-48.709980999999999,-1.573472000000000,0.791666667000000,PC01
-48.667628913961,-1.6378757987013,-48.669378999999999,-1.637713000000000,0.719444444000000,PC06
-48.690098337915,-1.61268067770725,-48.692824999999999,-1.578694000000000,0.763888889000000,
-48.6922371225695,-1.57904528680556,-48.692824999999999,-1.578694000000000,0.763888889000000,PC07
-48.698907,-1.617918,-48.698906999999998,-1.617918000000000,0.823611111000000,PC08
-48.69445,-1.629492,-48.694450000000003,-1.629492000000000,0.626388889000000,PC09
-48.7216178735053,-1.53281698955621,-48.712772999999999,-1.530502000000000,0.290277778000000,
-48.708413743731,-1.53068729120551,-48.705019999999998,-1.525557000000000,0.141666667000000,PM04
-48.6932928854411,-1.52515007549371,-48.705019999999998,-1.525557000000000,0.791666667000000,
-48.7246766878472,-1.54865023194444,-48.725862999999997,-1.547735000000000,0.511111111000000,PM01
-48.724393,-1.541942,-48.724392999999999,-1.541942000000000,0.545833333000000,PM02
-48.7026635581841,-1.52515007549371,-48.705019999999998,-1.525557000000000,0.141666667000000,PM05
-48.7192752053196,-1.56127841142103,-48.718919999999997,-1.561019000000000,0.515277778000000,PC03
-48.6967004028022,-1.55901227926975,-48.696483999999998,-1.559770000000000,0.420833333000000,PC05
-48.714589868948,-1.53047432137044,,,0.300000000000000,PM03
-48.717571446639,-1.58605944832357,,,0.600000000000000,
